ID_PARADER;Latitud;Longitud;Pasajeros;ES_COLAB
51345;6.246222;-75.602506;71.0;0
51367;6.249175;-75.602261;1.0;0
51542;6.24983;-75.599459;11.0;0
51655;6.249905;-75.597197;0.0;1
51732;6.249775;-75.595561;0.0;1
51844;6.249429;-75.592618;0.0;1
51982;6.249132;-75.589945;0.0;1
52036;6.248979;-75.588585;0.0;1
52133;6.248757;-75.586668;0.0;1
52265;6.248421;-75.583773;9.0;0
52628;6.24665;-75.577267;0.0;1
52776;6.247894;-75.575014;12.0;0
52786;6.250363;-75.574926;13.0;0
52797;6.25419;-75.574823;29.0;0
52924;6.256118;-75.572976;171.0;0
53456;6.248719;-75.565206;89.0;0
53347;6.24651;-75.566823;221.0;0
53173;6.241478;-75.569678;1.0;0
52916;6.235353;-75.573027;6.0;0
52822;6.235586;-75.574449;0.0;1
52799;6.229812;-75.574707;17.0;0
52783;6.228537;-75.574816;37.0;0
52765;6.226296;-75.575063;1.0;0
52733;6.22289;-75.575414;8.0;0
52710;6.219573;-75.5757;5.0;0
52696;6.217633;-75.575901;2.0;0
52677;6.214204;-75.576275;4.0;0
52673;6.212072;-75.576451;46.0;0
52648;6.20817;-75.576794;8.0;0
52622;6.203747;-75.577215;32.0;0
52609;6.201222;-75.577464;6.0;0
52235;6.196109;-75.583923;10.0;0
52184;6.198064;-75.584897;0.0;1
52238;6.201795;-75.583926;0.0;1
52166;6.203458;-75.585389;7.0;0
52005;6.207401;-75.589108;4.0;0
51746;6.211449;-75.595108;17.0;0
51696;6.213965;-75.596408;17.0;0
51585;6.217997;-75.598515;11.0;0
51553;6.21958;-75.599097;0.0;1
51545;6.221606;-75.599234;0.0;1
51540;6.223099;-75.599296;0.0;1
51543;6.223803;-75.599278;11.0;0
51488;6.225623;-75.600106;8.0;0
51401;6.227352;-75.601743;4.0;0
51388;6.229786;-75.601969;135.0;0
51383;6.232235;-75.602071;736.0;0
51377;6.234326;-75.602102;5.0;0
51315;6.23958;-75.602868;99.0;0
51330;6.24234;-75.602694;30.0;0
52876;6.256127;-75.573532;54.0;0
52821;6.255067;-75.574522;88.0;0
52741;6.250775;-75.57536;0.0;1
52732;6.247373;-75.575487;8.0;0
52907;6.245329;-75.573231;247.0;0
53223;6.243864;-75.568951;0.0;1
53287;6.24916;-75.567727;940.0;0
53136;6.250569;-75.570122;40.0;0
53195;6.252564;-75.569474;38.0;0
53224;6.256091;-75.568973;4.0;0
51555;6.251335;-75.59906;2.0;0
51339;6.248857;-75.602556;3.0;0
51325;6.246273;-75.602729;24.0;0
51312;6.2442647;-75.6028401;4.0;0
51306;6.241569;-75.602984;9.0;0
51299;6.239462;-75.603111;8.0;0
51297;6.237887;-75.603164;16.0;0
51353;6.234846;-75.602358;42.0;0
51358;6.232018;-75.6023;61.0;0
51366;6.230221;-75.602209;2.0;0
51384;6.227237;-75.601972;57.0;0
51464;6.225578;-75.600473;1.0;0
51523;6.22369;-75.599561;22.0;0
51525;6.22183;-75.599521;3.0;0
51532;6.220027;-75.599407;0.0;1
51559;6.218135;-75.598889;0.0;1
51708;6.212851;-75.596126;0.0;1
51742;6.21099;-75.59518;3.0;0
51910;6.207942;-75.59134;0.0;1
52030;6.204819;-75.588425;0.0;1
52168;6.203124;-75.585336;0.0;1
52220;6.201235;-75.58432;2.0;0
52177;6.19799;-75.585126;3.0;0
52292;6.195582;-75.583102;1.0;0
52558;6.196595;-75.578366;0.0;1
52615;6.199908;-75.577335;3.0;0
52645;6.204104;-75.576937;0.0;1
52665;6.207308;-75.576625;1.0;0
52682;6.212384;-75.576103;0.0;1
52704;6.215811;-75.575798;0.0;1
52729;6.21902;-75.575493;1.0;0
52751;6.222502;-75.575214;9.0;0
52788;6.225949;-75.57484;1.0;0
52812;6.228746;-75.574559;0.0;1
52823;6.23014;-75.574416;14.0;0
52892;6.23602;-75.573293;54.0;0
52971;6.238314;-75.572292;2.0;0
53202;6.241414;-75.569347;5.0;0
53376;6.246486;-75.566443;210.0;0
53524;6.24969;-75.564303;282.0;0
53650;6.2529;-75.562436;70.0;0
53601;6.255447;-75.563262;120.0;0
52910;6.25652;-75.57314;24.0;0
52821;6.255067;-75.574522;88.0;0
52738;6.249381;-75.575407;2.0;0
52681;6.246743;-75.576161;52.0;0
52217;6.248827;-75.584322;11.0;0
52033;6.249266;-75.588477;28.0;0
51868;6.249695;-75.592087;34.0;0
51728;6.250062;-75.5957;10.0;0
52649;6.213668;-75.576803;11.0;0
52627;6.2127626;-75.5764773;2.0;0
52652;6.218439;-75.576756;0.0;1
52690;6.22404;-75.575993;0.0;1
52742;6.229276;-75.575288;0.0;1
52773;6.231317;-75.575005;0.0;1
52743;6.235004;-75.575304;0.0;1
52423;6.248989;-75.581109;0.0;1
51388;6.229786;-75.601969;135.0;0
51444;6.230875;-75.600982;0.0;1
51557;6.231006;-75.598968;0.0;1
51721;6.231151;-75.595875;0.0;1
52867;6.238388;-75.573489;24.0;0
53041;6.237554;-75.571483;15.0;0
53221;6.240199;-75.568973;0.0;1
53687;6.254522;-75.561857;45.0;0
53601;6.255447;-75.563262;120.0;0
53481;6.257976;-75.564905;7.0;0
52821;6.255067;-75.574522;88.0;0
52684;6.253761;-75.576181;840.0;0
51536;6.24941;-75.599488;0.0;1
51492;6.245021;-75.600109;2.0;0
51483;6.242993;-75.600247;24.0;0
51308;6.242531;-75.602887;18.0;0
51299;6.239462;-75.603111;8.0;0
51353;6.234846;-75.602358;42.0;0
51359;6.232542;-75.602289;4.0;0
51388;6.229786;-75.601969;135.0;0
51383;6.232235;-75.602071;736.0;0
51375;6.235222;-75.602138;12.0;0
51307;6.23786;-75.602969;42.0;0
51315;6.23958;-75.602868;99.0;0
51330;6.24234;-75.602694;30.0;0
51489;6.242867;-75.600143;26.0;0
51498;6.244957;-75.600009;8.0;0
51611;6.247575;-75.598084;0.0;1
51434;6.250517;-75.600966;3.0;0
52837;6.251776;-75.574261;18.0;0
52830;6.254797;-75.574322;4.0;0
53062;6.258725;-75.571189;1.0;0
53271;6.240378;-75.567994;0.0;1
53144;6.240557;-75.570057;1.0;0
53050;6.237768;-75.57125;46.0;0
52932;6.238394;-75.572771;43.0;0
51676;6.232118;-75.596659;8.0;0
51411;6.23193;-75.601655;8.0;0
52747;6.251941;-75.575327;9.0;0
52735;6.248523;-75.575459;13.0;0
52907;6.245329;-75.573231;247.0;0
53210;6.243954;-75.569215;72.0;0
53498;6.249783;-75.564605;28.0;0
53306;6.245764;-75.567367;480.0;0
52921;6.2456;-75.572972;856.0;0
52300;6.249901;-75.583164;0.0;1
52337;6.252352;-75.582634;12.0;0
52747;6.251941;-75.575327;9.0;0
52735;6.248523;-75.575459;13.0;0
52907;6.245329;-75.573231;247.0;0
53210;6.243954;-75.569215;72.0;0
53238;6.243568;-75.568497;81.0;0
53310;6.245181;-75.56741;376.0;0
53532;6.249925;-75.564166;454.0;0
53650;6.2529;-75.562436;70.0;0
53215;6.250074;-75.569109;333.0;0
52899;6.252205;-75.573237;70.0;0
52684;6.253761;-75.576181;840.0;0
51663;6.249539;-75.597035;1.0;0
51652;6.246794;-75.597123;0.0;1
52925;6.238185;-75.572995;12.0;0
51854;6.245931;-75.592302;1.0;0
51855;6.249176;-75.592294;0.0;1
52043;6.251984;-75.588235;3.0;0
52006;6.24673;-75.589196;1.0;0
52673;6.212072;-75.576451;46.0;0
52660;6.20976;-75.576665;4.0;0
52737;6.212864;-75.57556;0.0;1
53237;6.241365;-75.568507;1.0;0
53510;6.249094;-75.564517;41.0;0
53400;6.249827;-75.566121;62.0;0
53261;6.252613;-75.568199;360.0;0
53100;6.252931;-75.570589;0.0;1
52899;6.252205;-75.573237;70.0;0
53397;6.256354;-75.566194;842.0;0
53598;6.255084;-75.563301;99.0;0
53200;6.241004;-75.56935;2.0;0
53116;6.239796;-75.570351;6.0;0
52892;6.23602;-75.573293;54.0;0
52971;6.238314;-75.572292;2.0;0
53087;6.242312;-75.570678;0.0;1
53119;6.244668;-75.570319;10.0;0
52903;6.245664;-75.573161;113.0;0
52299;6.249076;-75.583175;20.0;0
52337;6.252352;-75.582634;12.0;0
53397;6.256354;-75.566194;842.0;0
53598;6.255084;-75.563301;99.0;0
53200;6.241004;-75.56935;2.0;0
53116;6.239796;-75.570351;6.0;0
52761;6.236255;-75.575134;0.0;1
52022;6.250054;-75.588705;0.0;1
52133;6.248757;-75.586668;0.0;1
52265;6.248421;-75.583773;9.0;0
52911;6.245452;-75.573237;842.0;0
55156;6.24441;-75.570418;58.0;0
53141;6.241164;-75.570061;0.0;1
52922;6.236862;-75.572936;34.0;0
53041;6.237554;-75.571483;15.0;0
53231;6.240959;-75.568667;42.0;0
53282;6.243155;-75.567762;3.0;0
53687;6.254522;-75.561857;45.0;0
53595;6.255397;-75.563179;604.0;0
53420;6.257036;-75.56574;53.0;0
52022;6.250054;-75.588705;0.0;1
52133;6.248757;-75.586668;0.0;1
52265;6.248421;-75.583773;9.0;0
52911;6.245452;-75.573237;842.0;0
55156;6.24441;-75.570418;58.0;0
53141;6.241164;-75.570061;0.0;1
52922;6.236862;-75.572936;34.0;0
53041;6.237554;-75.571483;15.0;0
53231;6.240959;-75.568667;42.0;0
53282;6.243155;-75.567762;3.0;0
53687;6.254522;-75.561857;45.0;0
53595;6.255397;-75.563179;604.0;0
51388;6.229786;-75.601969;135.0;0
51383;6.232235;-75.602071;736.0;0
51387;6.23367;-75.60195;0.0;1
51474;6.232778;-75.600363;0.0;1
51583;6.233085;-75.598422;0.0;1
51643;6.233655;-75.597292;2.0;0
51683;6.234553;-75.596635;0.0;1
51697;6.236249;-75.59643;0.0;1
51693;6.237411;-75.596525;3.0;0
52867;6.238388;-75.573489;24.0;0
52925;6.238185;-75.572995;12.0;0
52973;6.237854;-75.572248;2.0;0
53231;6.240959;-75.568667;42.0;0
53255;6.241881;-75.568297;4.0;0
53282;6.243155;-75.567762;3.0;0
53418;6.247875;-75.565819;77.0;0
53304;6.248553;-75.567449;97.0;0
53215;6.250074;-75.569109;333.0;0
53078;6.250922;-75.570844;426.0;0
53026;6.251367;-75.571658;40.0;0
52899;6.252205;-75.573237;70.0;0
52684;6.253761;-75.576181;840.0;0
51675;6.251914;-75.596802;0.0;1
51669;6.250217;-75.596977;27.0;0
51658;6.249067;-75.597084;0.0;1
51650;6.248189;-75.597176;1.0;0
51558;6.247139;-75.599001;0.0;1
51505;6.246425;-75.59991;5.0;0
51487;6.244425;-75.600175;2.0;0
51483;6.242993;-75.600247;24.0;0
51455;6.242771;-75.600833;4.0;0
51371;6.243102;-75.602219;6.0;0
51308;6.242531;-75.602887;18.0;0
51303;6.239938;-75.603046;15.0;0
51297;6.237887;-75.603164;16.0;0
51353;6.234846;-75.602358;42.0;0
51388;6.229786;-75.601969;135.0;0
51383;6.232235;-75.602071;736.0;0
51379;6.233362;-75.602064;3.0;0
51375;6.235222;-75.602138;12.0;0
51341;6.236297;-75.602505;7.0;0
51307;6.23786;-75.602969;42.0;0
51315;6.23958;-75.602868;99.0;0
51317;6.240773;-75.602798;8.0;0
51330;6.24234;-75.602694;30.0;0
51433;6.24263;-75.601201;0.0;1
51476;6.242453;-75.600373;0.0;1
51516;6.242457;-75.599749;0.0;1
51534;6.244166;-75.599475;2.0;0
51546;6.245721;-75.599299;7.0;0
51567;6.246879;-75.598768;0.0;1
51611;6.247575;-75.598084;0.0;1
51599;6.248446;-75.598262;0.0;1
51518;6.250278;-75.599717;1.0;0
51580;6.251288;-75.598518;0.0;1
51625;6.251324;-75.597694;0.0;1
52837;6.251776;-75.574261;18.0;0
52877;6.250573;-75.573508;0.0;1
52890;6.249117;-75.573346;55.0;0
52951;6.248113;-75.572491;0.0;1
53112;6.24745;-75.570452;0.0;1
53230;6.249463;-75.568739;52.0;0
53215;6.250074;-75.569109;333.0;0
53078;6.250922;-75.570844;426.0;0
52950;6.2507;-75.572536;7.0;0
52890;6.249117;-75.573346;55.0;0
52861;6.248375;-75.573706;0.0;1
52918;6.246726;-75.573045;0.0;1
53006;6.246333;-75.571945;0.0;1
53095;6.245888;-75.570636;0.0;1
53064;6.244253;-75.5711;0.0;1
52987;6.241694;-75.572114;0.0;1
52926;6.239683;-75.572885;0.0;1
52898;6.238694;-75.573272;186.0;0
52844;6.238953;-75.574126;5.0;0
51584;6.239159;-75.59839;2.0;0
51586;6.238012;-75.598378;1.0;0
51588;6.236325;-75.59834;1.0;0
51591;6.235013;-75.598327;0.0;1
51596;6.234173;-75.598301;0.0;1
51598;6.232806;-75.598255;0.0;1
51581;6.23204;-75.59843;0.0;1
51529;6.232006;-75.599467;2.0;0
51450;6.231947;-75.600904;0.0;1
51411;6.23193;-75.601655;8.0;0
51344;6.231906;-75.60246;0.0;1
52859;6.255356;-75.57374;6.0;0
53019;6.25233;-75.57169;70.0;0
52890;6.249117;-75.573346;55.0;0
53211;6.248508;-75.569212;0.0;1
52967;6.251754;-75.572348;175.0;0
52684;6.253761;-75.576181;840.0;0
53022;6.256266;-75.571744;0.0;1
53019;6.25233;-75.57169;70.0;0
52890;6.249117;-75.573346;55.0;0
53211;6.248508;-75.569212;0.0;1
53195;6.252564;-75.569474;38.0;0
53029;6.256455;-75.57163;5.0;0
52890;6.249117;-75.573346;55.0;0
53211;6.248508;-75.569212;0.0;1
52967;6.251754;-75.572348;175.0;0
52684;6.253761;-75.576181;840.0;0
52747;6.251941;-75.575327;9.0;0
52735;6.248523;-75.575459;13.0;0
52907;6.245329;-75.573231;247.0;0
53150;6.24385;-75.570001;6.0;0
53287;6.24916;-75.567727;940.0;0
52967;6.251754;-75.572348;175.0;0
52684;6.253761;-75.576181;840.0;0
52748;6.251764;-75.575307;14.0;0
52735;6.248523;-75.575459;13.0;0
52907;6.245329;-75.573231;247.0;0
53210;6.243954;-75.569215;72.0;0
53308;6.251827;-75.567443;456.0;0
53019;6.25233;-75.57169;70.0;0
52899;6.252205;-75.573237;70.0;0
52684;6.253761;-75.576181;840.0;0
52748;6.251764;-75.575307;14.0;0
52735;6.248523;-75.575459;13.0;0
52907;6.245329;-75.573231;247.0;0
53210;6.243954;-75.569215;72.0;0
53308;6.251827;-75.567443;456.0;0
53019;6.25233;-75.57169;70.0;0
52899;6.252205;-75.573237;70.0;0
52684;6.253761;-75.576181;840.0;0
52748;6.251764;-75.575307;14.0;0
52735;6.248523;-75.575459;13.0;0
52907;6.245329;-75.573231;247.0;0
53210;6.243954;-75.569215;72.0;0
53308;6.251827;-75.567443;456.0;0
53019;6.25233;-75.57169;70.0;0
52899;6.252205;-75.573237;70.0;0
52684;6.253761;-75.576181;840.0;0
52748;6.251764;-75.575307;14.0;0
52735;6.248523;-75.575459;13.0;0
52907;6.245329;-75.573231;247.0;0
53150;6.24385;-75.570001;6.0;0
53287;6.24916;-75.567727;940.0;0
52899;6.252205;-75.573237;70.0;0
52684;6.253761;-75.576181;840.0;0
52675;6.253557;-75.576439;0.0;1
52748;6.251764;-75.575307;14.0;0
52735;6.248523;-75.575459;13.0;0
52907;6.245329;-75.573231;247.0;0
53150;6.24385;-75.570001;6.0;0
53287;6.24916;-75.567727;940.0;0
52899;6.252205;-75.573237;70.0;0
52684;6.253761;-75.576181;840.0;0
52820;6.256144;-75.574551;4.0;0
53074;6.256728;-75.570905;0.0;1
53126;6.254155;-75.57023;2.0;0
53019;6.25233;-75.57169;70.0;0
52899;6.252205;-75.573237;70.0;0
52684;6.253761;-75.576181;840.0;0
52820;6.256144;-75.574551;4.0;0
53074;6.256728;-75.570905;0.0;1
53126;6.254155;-75.57023;2.0;0
53019;6.25233;-75.57169;70.0;0
52899;6.252205;-75.573237;70.0;0
52684;6.253761;-75.576181;840.0;0
52924;6.256118;-75.572976;171.0;0
53316;6.25681;-75.56737;0.0;1
53322;6.254927;-75.567292;0.0;1
53291;6.253537;-75.567682;96.0;0
55195;6.251725;-75.572003;392.0;0
52684;6.253761;-75.576181;840.0;0
52748;6.251764;-75.575307;14.0;0
52735;6.248523;-75.575459;13.0;0
52907;6.245329;-75.573231;247.0;0
53174;6.244019;-75.569677;0.0;1
53251;6.248336;-75.56835;51.0;0
53078;6.250922;-75.570844;426.0;0
52684;6.253761;-75.576181;840.0;0
52837;6.251776;-75.574261;18.0;0
52906;6.250445;-75.573159;0.0;1
53127;6.25097;-75.57022;3015.0;0
55195;6.251725;-75.572003;392.0;0
52684;6.253761;-75.576181;840.0;0
52837;6.251776;-75.574261;18.0;0
52906;6.250445;-75.573159;0.0;1
53127;6.25097;-75.57022;3015.0;0
55195;6.251725;-75.572003;392.0;0
52684;6.253761;-75.576181;840.0;0
52837;6.251776;-75.574261;18.0;0
52906;6.250445;-75.573159;0.0;1
53127;6.25097;-75.57022;3015.0;0
55195;6.251725;-75.572003;392.0;0
52684;6.253761;-75.576181;840.0;0
52837;6.251776;-75.574261;18.0;0
52906;6.250445;-75.573159;0.0;1
53127;6.25097;-75.57022;3015.0;0
55195;6.251725;-75.572003;392.0;0
52684;6.253761;-75.576181;840.0;0
52906;6.250445;-75.573159;0.0;1
53127;6.25097;-75.57022;3015.0;0
55195;6.251725;-75.572003;392.0;0
52684;6.253761;-75.576181;840.0;0
53272;6.255815;-75.56803;0.0;1
55195;6.251725;-75.572003;392.0;0
52684;6.253761;-75.576181;840.0;0
53291;6.253537;-75.567682;96.0;0
53092;6.253563;-75.570697;40.0;0
53029;6.256455;-75.57163;5.0;0
53291;6.253537;-75.567682;96.0;0
53092;6.253563;-75.570697;40.0;0
53029;6.256455;-75.57163;5.0;0
53291;6.253537;-75.567682;96.0;0
53092;6.253563;-75.570697;40.0;0
53029;6.256455;-75.57163;5.0;0
53291;6.253537;-75.567682;96.0;0
53092;6.253563;-75.570697;40.0;0
53029;6.256455;-75.57163;5.0;0
52748;6.251764;-75.575307;14.0;0
52735;6.248523;-75.575459;13.0;0
52907;6.245329;-75.573231;247.0;0
53210;6.243954;-75.569215;72.0;0
53425;6.248061;-75.56568;3435.0;0
53306;6.245764;-75.567367;480.0;0
52921;6.2456;-75.572972;856.0;0
52300;6.249901;-75.583164;0.0;1
53234;6.256342;-75.568664;0.0;1
53291;6.253537;-75.567682;96.0;0
53066;6.253876;-75.571072;18.0;0
53301;6.256142;-75.567505;0.0;1
53502;6.251589;-75.564602;3.0;0
53070;6.252139;-75.570944;891.0;0
52803;6.253625;-75.574742;0.0;1
52924;6.256118;-75.572976;171.0;0
53278;6.256744;-75.567854;8.0;0
53243;6.253472;-75.568469;22.0;0
53070;6.252139;-75.570944;891.0;0
53230;6.249463;-75.568739;52.0;0
52967;6.251754;-75.572348;175.0;0
52804;6.254279;-75.574727;80.0;0
52961;6.256701;-75.572418;133.0;0
53120;6.259058;-75.570356;0.0;1
52821;6.255067;-75.574522;88.0;0
52741;6.250775;-75.57536;0.0;1
52735;6.248523;-75.575459;13.0;0
52907;6.245329;-75.573231;247.0;0
53174;6.244019;-75.569677;0.0;1
53118;6.243178;-75.570323;4.0;0
53232;6.247456;-75.568682;74.0;0
52967;6.251754;-75.572348;175.0;0
52924;6.256118;-75.572976;171.0;0
53169;6.259278;-75.569804;9.0;0
53120;6.259058;-75.570356;0.0;1
53261;6.252613;-75.568199;360.0;0
53100;6.252931;-75.570589;0.0;1
52985;6.249575;-75.572162;65.0;0
52830;6.254797;-75.574322;4.0;0
52924;6.256118;-75.572976;171.0;0
53169;6.259278;-75.569804;9.0;0
53120;6.259058;-75.570356;0.0;1
53261;6.252613;-75.568199;360.0;0
53598;6.255084;-75.563301;99.0;0
53400;6.249827;-75.566121;62.0;0
53317;6.253577;-75.56736;48.0;0
53598;6.255084;-75.563301;99.0;0
53344;6.250262;-75.566877;8.0;0
53317;6.253577;-75.56736;48.0;0
53368;6.255701;-75.566534;16.0;0
53249;6.253391;-75.568489;51.0;0
53066;6.253876;-75.571072;18.0;0
52876;6.256127;-75.573532;54.0;0
52741;6.250775;-75.57536;0.0;1
52735;6.248523;-75.575459;13.0;0
53051;6.244673;-75.571268;4.0;0
53238;6.243568;-75.568497;81.0;0
53279;6.244644;-75.567812;42.0;0
53446;6.24791;-75.565372;2336.0;0
53573;6.250841;-75.563629;32.0;0
53595;6.255397;-75.563179;604.0;0
53259;6.258164;-75.568256;0.0;1
53316;6.25681;-75.56737;0.0;1
53598;6.255084;-75.563301;99.0;0
53549;6.251024;-75.56392;42.0;0
53425;6.248061;-75.56568;3435.0;0
53260;6.244681;-75.568196;6.0;0
53063;6.245014;-75.571128;81.0;0
52778;6.248681;-75.574993;100.0;0
52790;6.252214;-75.574891;18.0;0
52924;6.256118;-75.572976;171.0;0
53316;6.25681;-75.56737;0.0;1
53598;6.255084;-75.563301;99.0;0
53549;6.251024;-75.56392;42.0;0
53425;6.248061;-75.56568;3435.0;0
53260;6.244681;-75.568196;6.0;0
53063;6.245014;-75.571128;81.0;0
52778;6.248681;-75.574993;100.0;0
52790;6.252214;-75.574891;18.0;0
52924;6.256118;-75.572976;171.0;0
53316;6.25681;-75.56737;0.0;1
53066;6.253876;-75.571072;18.0;0
52910;6.25652;-75.57314;24.0;0
52741;6.250775;-75.57536;0.0;1
52735;6.248523;-75.575459;13.0;0
52907;6.245329;-75.573231;247.0;0
53007;6.239327;-75.571911;0.0;1
53043;6.241909;-75.571366;0.0;1
52778;6.248681;-75.574993;100.0;0
52924;6.256118;-75.572976;171.0;0
53598;6.255084;-75.563301;99.0;0
53249;6.253391;-75.568489;51.0;0
53066;6.253876;-75.571072;18.0;0
53249;6.253391;-75.568489;51.0;0
53070;6.252139;-75.570944;891.0;0
52946;6.24865;-75.57256;24.0;0
53232;6.247456;-75.568682;74.0;0
53308;6.251827;-75.567443;456.0;0
53066;6.253876;-75.571072;18.0;0
52876;6.256127;-75.573532;54.0;0
52741;6.250775;-75.57536;0.0;1
52732;6.247373;-75.575487;8.0;0
53051;6.244673;-75.571268;4.0;0
53238;6.243568;-75.568497;81.0;0
53279;6.244644;-75.567812;42.0;0
53446;6.24791;-75.565372;2336.0;0
53573;6.250841;-75.563629;32.0;0
53595;6.255397;-75.563179;604.0;0
53259;6.258164;-75.568256;0.0;1
53316;6.25681;-75.56737;0.0;1
53598;6.255084;-75.563301;99.0;0
53549;6.251024;-75.56392;42.0;0
53425;6.248061;-75.56568;3435.0;0
53260;6.244681;-75.568196;6.0;0
53063;6.245014;-75.571128;81.0;0
52778;6.248681;-75.574993;100.0;0
52790;6.252214;-75.574891;18.0;0
52924;6.256118;-75.572976;171.0;0
53316;6.25681;-75.56737;0.0;1
53066;6.253876;-75.571072;18.0;0
52962;6.258836;-75.572422;2.0;0
53598;6.255084;-75.563301;99.0;0
53584;6.251758;-75.563502;3.0;0
53425;6.248061;-75.56568;3435.0;0
53287;6.24916;-75.567727;940.0;0
53204;6.253664;-75.569362;5.0;0
53169;6.259278;-75.569804;9.0;0
51714;6.229845;-75.596006;15.0;0
52893;6.242278;-75.573293;0.0;1
;6.2494845;-75.563278;10.0;0
;6.2494845;-75.563278;10.0;0
